n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
20,90,1.20,0.22,1.08,1.83,1.11,0.07,1.04,1.29,1.61,0.08,1.50,1.92,1.14,0.07,1.08,1.42,1.70,0.13,1.58,3.21,37.80,29.88,23.00,383.88,12.87,3.99,5.75,30.25,38.22,28.81,22.71,406.83,11.07,2.88,5.92,22.42
30,90,2.22,0.11,2.17,2.50,2.19,0.10,2.08,2.33,2.44,0.10,2.33,2.83,1.84,0.08,1.75,2.29,12.25,0.60,11.83,18.17,41.19,42.68,24.04,427.29,13.82,3.38,6.75,25.79,43.47,40.85,25.29,429.96,12.09,3.74,6.83,29.42
40,90,3.85,0.70,3.58,5.83,3.69,0.22,3.50,4.25,3.45,0.52,3.21,8.21,2.67,0.18,2.54,5.83,15.65,0.29,15.33,18.63,45.98,50.54,26.88,435.83,13.56,3.03,7.04,23.54,49.97,50.89,28.46,449.54,12.80,2.95,7.96,26.71
50,90,5.45,0.12,5.33,5.75,5.50,0.17,5.38,5.92,3.94,0.15,3.79,5.92,2.88,0.15,2.75,5.54,17.26,0.69,16.79,21.71,50.10,61.75,28.17,480.29,13.58,3.02,7.46,26.58,52.55,54.88,30.42,480.92,13.32,2.74,8.71,31.79
60,90,7.45,0.07,7.38,7.58,7.47,0.21,7.17,7.75,4.89,0.29,4.71,8.13,3.77,0.10,3.63,4.33,21.22,1.47,20.25,31.25,61.51,71.23,30.38,551.29,16.33,4.36,8.33,38.13,54.84,59.96,32.58,471.71,15.13,3.75,10.17,38.42
70,90,10.10,0.11,10.00,10.29,12.83,4.41,9.71,20.58,5.60,0.16,5.42,7.33,4.14,0.09,4.00,4.50,22.84,1.15,22.17,31.29,56.75,70.80,32.25,487.46,18.79,3.12,11.79,34.04,63.23,63.30,34.67,471.38,15.90,4.27,10.08,39.96
80,90,13.39,0.16,13.21,13.67,13.42,0.19,13.29,13.79,6.43,0.14,6.25,7.00,4.76,0.11,4.63,5.25,24.79,0.46,24.25,29.63,66.74,80.18,37.79,548.83,19.57,3.60,10.83,39.29,73.13,77.21,45.21,542.08,16.97,4.34,11.21,43.63
90,90,15.92,0.15,15.79,16.21,19.77,6.61,15.83,35.04,7.12,0.13,6.92,7.54,5.41,0.11,5.25,5.79,23.78,0.39,23.25,26.79,73.54,93.82,36.58,587.42,20.14,4.00,13.08,36.75,89.80,94.54,40.29,593.50,17.32,3.70,11.29,38.67
100,90,21.85,3.60,20.04,30.38,19.48,0.11,19.38,19.71,8.22,0.31,7.75,9.58,5.96,0.14,5.75,6.46,27.95,1.41,26.83,40.58,69.29,94.78,36.17,594.79,18.63,4.35,12.29,39.08,77.80,84.02,41.96,569.50,18.90,5.33,12.63,49.38
200,90,75.92,0.18,75.71,76.33,72.78,0.13,72.63,72.96,15.87,0.79,15.50,20.92,12.48,0.52,12.08,18.17,49.24,2.66,47.46,72.42,93.91,113.83,49.42,624.79,24.81,4.60,18.42,54.29,97.26,100.51,53.50,624.17,30.39,7.41,19.08,63.58
300,90,164.05,8.55,160.08,187.83,159.99,0.09,159.88,160.17,24.00,1.55,23.04,35.04,18.65,1.33,17.71,25.63,66.16,4.71,63.54,158.58,106.24,124.19,57.21,684.67,32.12,5.49,24.04,56.17,108.92,103.77,66.58,622.67,37.25,7.63,22.92,77.88
400,90,287.98,2.47,285.25,293.67,289.23,1.01,288.71,292.04,32.93,1.35,31.75,38.92,25.26,1.38,24.17,35.04,94.99,5.03,93.29,235.04,116.92,125.31,63.25,676.21,38.73,5.55,30.75,74.67,118.02,114.64,62.21,667.46,44.17,6.29,33.38,80.96
500,90,444.26,2.21,442.46,448.92,447.80,4.84,442.79,454.13,40.43,1.97,39.17,50.83,32.00,1.79,30.58,40.00,199.83,9.43,195.21,347.25,117.27,122.46,65.96,665.71,45.75,10.74,35.08,149.75,132.95,122.08,70.67,708.42,51.24,5.98,39.92,91.83
600,90,677.76,24.96,645.17,733.29,658.02,39.27,642.83,769.46,50.99,2.33,48.42,66.00,40.08,1.41,38.58,49.83,183.15,11.21,177.75,354.58,132.49,138.67,73.08,767.21,53.20,7.26,42.96,104.17,139.13,129.47,75.96,758.42,64.79,7.26,50.08,105.54
700,90,893.58,24.50,875.08,944.92,881.02,38.84,861.79,989.67,56.51,2.76,54.58,69.04,44.75,2.97,42.17,60.75,552.25,24.87,536.25,791.42,142.96,146.88,76.42,834.04,58.16,7.56,47.04,113.21,142.39,131.51,79.71,733.83,70.77,11.13,54.17,148.58
800,90,1183.06,7.67,1173.92,1199.38,1185.07,80.91,1131.83,1384.88,68.27,3.89,64.17,95.13,52.40,1.99,50.50,66.42,585.04,24.46,571.17,792.54,152.01,153.96,81.38,875.79,67.50,9.80,54.83,128.54,149.14,131.59,88.04,750.63,77.59,10.24,61.96,152.63
900,90,1460.28,24.33,1445.17,1526.96,1448.00,36.86,1430.13,1551.46,76.63,4.33,72.83,100.88,60.14,2.88,57.13,70.63,633.83,23.98,620.38,820.58,186.25,172.58,86.58,855.00,72.56,7.77,61.33,146.21,153.31,134.55,89.42,771.29,84.69,8.84,70.67,173.58
1000,90,1781.01,26.76,1759.50,1845.96,1765.36,14.54,1756.08,1805.50,83.90,3.98,80.50,101.25,64.75,1.77,63.08,80.54,684.60,30.19,665.88,920.83,172.95,166.44,91.54,859.04,82.72,17.07,64.21,290.92,165.72,144.47,93.63,806.42,93.29,12.42,78.04,288.08
2000,90,7321.29,216.92,7072.92,7623.08,7212.51,124.65,7081.29,7352.96,174.21,18.22,167.21,495.83,136.12,16.76,129.71,429.67,1042.23,42.65,1011.83,1311.50,267.45,178.29,138.13,951.75,152.11,38.25,127.96,505.29,251.20,173.32,135.17,861.50,157.21,26.75,136.67,410.67
3000,90,15980.20,220.76,15818.13,16585.25,16182.20,193.01,15919.54,16494.79,262.68,21.60,255.04,467.00,216.04,27.16,203.46,473.46,1325.21,60.23,1280.13,1640.46,355.39,187.14,185.38,1070.92,227.74,53.30,188.17,551.08,316.09,168.24,181.79,934.25,221.69,44.44,199.42,537.17
4000,90,28817.73,658.73,28334.13,30168.04,28735.64,291.64,28418.96,29335.17,354.87,21.82,347.21,544.42,288.66,23.08,277.42,527.17,1922.69,63.79,1867.79,2220.92,411.59,182.16,230.38,1110.29,299.92,59.20,250.67,658.92,405.56,186.56,222.00,1260.33,290.77,50.46,261.71,662.96
5000,90,44726.33,535.53,44250.17,45559.29,44970.95,717.55,44337.25,46437.79,515.14,230.49,444.83,2259.46,404.84,99.22,347.58,1282.21,2385.43,200.74,2235.33,3056.25,483.48,208.00,276.04,1207.50,435.09,273.02,321.75,2462.63,486.44,206.76,269.79,1159.83,380.67,96.46,331.08,944.29
6000,90,64059.58,250.07,63828.88,64657.38,64397.62,393.39,63981.00,65046.96,598.87,83.03,542.96,982.54,569.38,455.27,425.17,2824.54,2554.80,208.87,2398.58,3178.92,556.15,215.91,327.21,1245.08,522.17,274.51,393.92,2248.75,550.48,238.19,314.25,1396.38,489.84,284.75,397.75,2509.08
7000,90,87463.56,1273.05,86472.83,90542.25,87480.10,858.31,86640.08,89590.88,735.63,283.51,644.79,2786.38,570.09,77.96,511.25,940.75,2995.57,222.20,2786.25,4560.42,632.31,236.25,369.42,1478.54,584.36,287.36,457.13,2406.29,601.02,218.83,363.04,1347.88,556.35,164.12,466.08,2028.38
8000,90,114213.45,1414.04,113105.63,117663.54,114467.46,1226.13,113286.54,116915.29,809.65,91.17,738.71,1276.00,654.31,82.95,593.75,1042.13,3211.38,220.27,2982.29,3864.63,671.19,216.40,437.08,1412.79,616.85,120.47,536.38,1246.92,649.80,207.66,405.04,1298.13,619.40,129.88,530.88,1252.58
9000,90,144003.42,1922.42,142985.29,149300.58,144080.63,1109.64,142899.63,146361.08,912.48,98.60,835.71,1344.38,735.63,96.43,652.63,1172.67,3533.01,302.13,3278.33,4439.79,746.95,241.23,482.25,1636.54,707.79,147.86,611.08,1380.92,754.73,264.55,455.25,1574.46,694.03,145.28,595.33,1387.75
10000,90,178525.19,1921.02,176483.21,182239.46,178223.79,1563.80,177021.46,181723.25,1061.31,152.72,940.75,1564.38,877.44,152.22,756.08,1351.79,3876.47,296.49,3578.50,4590.25,877.88,319.35,546.63,2060.21,860.92,217.09,693.00,1517.33,903.36,349.10,519.17,2392.42,853.27,211.50,677.25,1466.83
20000,90,714149.85,5409.08,707297.08,723827.13,717254.14,10052.44,709536.33,741832.88,2258.40,317.06,1946.50,3193.54,1787.07,290.88,1531.58,2659.96,7228.36,339.05,6704.67,8303.04,1987.61,673.07,1053.79,4162.67,1792.57,461.34,1343.21,4212.88,1894.02,612.13,1002.21,4264.50,1785.53,487.46,1334.08,3289.83
30000,90,1618254.64,5109.36,1609491.17,1624608.92,1618368.42,7134.65,1611040.79,1636379.17,3349.46,431.00,2973.58,4882.38,2685.20,304.19,2364.88,3481.75,45191.13,2893.12,42016.50,59816.79,2690.35,776.41,1518.54,5293.00,2763.98,1024.36,1975.42,7452.25,2981.22,864.22,1496.79,6012.13,2801.60,921.07,2011.42,7664.38
10,100,0.41,0.21,0.33,1.00,0.39,0.03,0.33,0.46,0.85,0.06,0.79,1.17,0.60,0.05,0.54,0.79,1.07,0.08,1.00,1.33,44.21,24.98,22.04,243.96,11.57,5.46,4.38,33.50,43.54,27.24,20.50,410.42,10.75,4.72,4.25,37.50
20,100,1.10,0.12,1.04,1.42,1.05,0.07,1.00,1.21,1.67,0.08,1.54,1.92,1.17,0.07,1.13,1.63,3.42,0.13,3.21,4.17,45.87,35.17,25.83,449.79,14.91,4.42,5.75,38.71,47.66,41.89,23.21,475.04,9.46,2.76,4.92,22.63
30,100,2.17,0.08,2.04,2.38,2.13,0.13,2.00,2.46,2.53,0.28,2.38,5.83,1.79,0.08,1.71,2.17,2.90,0.13,2.75,4.13,51.46,54.75,25.83,503.75,13.77,5.20,5.71,38.33,58.03,49.98,35.08,500.83,14.53,5.43,7.21,35.75
40,100,3.53,0.21,3.38,3.96,3.40,0.22,3.25,3.83,3.39,0.13,3.21,3.92,2.50,0.11,2.38,3.04,16.40,0.67,15.88,29.13,69.24,67.37,32.83,539.25,17.50,5.30,6.79,39.96,66.31,68.94,29.67,543.21,16.36,7.32,6.88,70.38
