n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
4000,40,95179.02,566.10,94719.29,96335.41,94280.38,404.72,93828.43,95223.66,316.19,6.46,309.81,354.50,289.44,3.71,285.33,313.21,2341.67,55.31,2307.18,2773.92,2686.39,1659.50,1442.38,7014.88,506.53,22.08,484.40,832.25,2084.72,1078.91,1401.37,5621.03,364.64,53.34,325.76,819.32
5000,40,147583.27,416.80,147090.78,148413.01,147777.86,1873.24,146251.53,152358.06,424.94,93.78,398.97,1104.04,402.85,95.97,373.31,1095.20,2990.68,228.90,2807.76,3864.73,2810.82,1955.58,1477.48,10988.02,555.61,198.56,440.41,1893.13,2153.11,1138.18,1362.26,5630.50,501.61,163.86,394.72,1605.98
6000,40,229470.69,2643.34,222037.70,230713.81,219412.23,1252.54,218278.35,222654.71,564.60,123.15,515.85,1341.78,492.83,117.61,447.57,1230.79,3333.24,258.75,3155.78,4252.97,2843.04,1703.86,1529.44,7024.88,644.69,212.17,522.87,1913.85,2330.97,1347.76,1447.36,5846.64,597.59,206.23,493.62,1924.19
7000,40,294458.61,2398.94,291364.62,299021.16,292788.07,2978.69,290154.99,297222.47,633.58,123.20,572.89,1436.47,593.13,123.96,534.90,1400.67,3777.38,240.73,3598.57,4600.59,3028.76,1831.81,1554.03,7280.02,781.74,251.39,592.11,2442.84,2361.21,1331.90,1441.38,5933.44,708.31,222.66,580.16,2048.68
8000,40,392763.31,3391.41,388277.46,397999.80,385924.99,867.96,384893.20,387679.19,727.55,146.30,663.75,1584.41,674.13,144.53,612.48,1508.41,4107.21,330.65,3813.90,5009.21,3024.59,1768.68,1580.09,7312.54,867.50,307.74,663.58,2954.51,2449.82,1367.49,1471.93,6208.77,792.25,248.29,658.31,2128.52
9000,40,497791.91,8531.98,489818.69,520087.51,487039.07,2191.62,483996.69,491223.04,820.73,166.78,738.60,1677.65,752.38,164.61,678.01,1582.92,4542.47,363.37,4265.05,5501.51,3055.24,1757.30,1544.67,7409.35,970.94,355.84,748.15,3268.85,2523.19,1482.75,1456.04,6310.40,837.89,274.82,710.90,2163.29
10000,40,612418.19,6707.68,604269.88,623781.21,601685.08,2558.02,598429.30,605258.78,923.98,178.54,841.32,1820.21,866.15,157.55,781.25,1702.18,4928.89,345.98,4638.25,5961.25,3071.90,1779.52,1604.45,7444.27,912.36,288.33,789.01,2313.76,2454.17,1402.85,1410.87,6277.72,932.52,255.54,772.45,2158.87
20000,40,2456938.88,8608.50,2446715.82,2471973.06,2495866.66,39890.45,2448614.21,2573145.54,1943.87,306.56,1789.65,2995.98,1830.01,299.54,1687.14,2800.51,9629.99,312.90,9217.08,10717.88,3916.88,1910.95,2055.68,8406.56,2562.02,441.80,1641.55,3955.84,3293.01,1727.15,1742.16,7288.65,1968.82,536.01,1618.48,3760.43
30000,40,6565327.35,56723.08,6494209.17,6682968.74,5639753.98,46719.61,5570919.30,5733943.53,3296.13,485.54,2929.41,4861.34,3037.50,461.45,2692.10,4538.73,57355.00,1613.43,55382.03,64103.55,5952.83,3032.94,2744.73,19943.69,3008.67,481.11,2449.17,5037.28,5117.11,2415.00,2468.99,12917.71,2877.76,411.58,2456.95,4316.48
10,50,0.97,0.01,0.96,1.00,1.07,0.29,0.96,1.90,1.05,0.28,0.96,2.46,0.87,0.26,0.78,2.09,1.88,0.37,1.63,2.97,1354.73,61.71,1220.33,1735.07,42.88,6.17,28.88,60.53,1363.46,62.99,1246.12,1799.04,46.03,6.68,30.45,66.69
