n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
8000,20,191348.80,2409.70,188364.34,195669.98,191630.41,1560.35,189671.51,194582.23,457.26,74.39,412.57,891.00,431.71,73.83,389.56,857.82,2535.25,192.52,2375.14,3150.55,620.29,290.00,422.53,1602.86,393.85,140.52,328.95,1237.66,507.29,267.72,251.41,1497.88,393.01,142.55,324.95,1289.95
9000,20,249463.58,1986.61,247302.95,254132.48,243676.09,1715.85,240966.08,245724.18,509.62,83.33,459.17,927.84,489.58,85.34,430.98,937.42,2871.27,226.22,2654.65,3577.60,663.86,332.09,449.36,2225.77,448.43,167.85,367.98,1322.39,547.02,309.90,314.00,1546.08,454.67,184.97,366.02,1499.75
10000,20,346425.23,3324.37,339311.08,350188.81,300229.25,2807.10,296890.67,306722.03,595.88,95.07,541.06,1097.47,577.77,93.33,512.58,1060.73,3122.55,251.62,2897.31,3843.26,690.72,327.69,469.97,1679.52,521.34,184.42,419.95,1550.49,583.11,375.47,334.13,2179.88,526.68,192.88,421.22,1555.65
20000,20,2061929.26,50304.35,1920132.59,2085427.70,1868597.07,39523.94,1851233.12,1980718.51,1433.78,206.87,1272.52,2391.54,1387.47,203.15,1213.52,2081.91,6436.10,334.25,5859.59,7478.59,905.25,394.68,608.08,1980.56,1002.88,102.03,926.75,1463.78,804.43,427.98,500.10,1930.64,1015.70,114.32,930.97,1512.65
30000,20,5087075.38,23757.85,5068106.55,5148632.78,4326797.93,4012.29,4319239.14,4332183.16,2603.90,424.17,2252.77,4817.88,2400.67,311.69,2116.06,3590.69,46398.47,1108.59,44027.31,49498.85,1123.26,492.85,760.90,2426.03,1652.35,157.92,1531.92,2368.58,1067.00,540.56,665.07,2453.53,1672.18,170.73,1540.45,2443.77
10,30,0.50,0.18,0.43,1.02,0.50,0.10,0.41,0.67,0.52,0.13,0.48,1.13,0.46,0.14,0.42,1.10,1.89,1.17,1.22,5.78,395.03,28.57,336.79,545.53,11.64,1.35,8.42,15.66,386.34,21.63,336.44,443.19,10.79,1.74,7.97,16.08
20,30,1.55,0.01,1.54,1.58,1.50,0.01,1.48,1.52,0.96,0.13,0.88,1.71,0.84,0.10,0.77,1.44,2.36,0.20,2.11,3.08,389.52,21.78,335.31,462.24,12.20,1.65,8.34,16.96,387.91,20.99,335.49,472.60,10.33,1.00,8.58,14.14
30,30,3.56,0.15,3.49,3.99,3.47,0.02,3.45,3.50,1.40,0.17,1.28,2.00,1.20,0.16,1.10,1.81,9.20,2.07,7.68,14.84,391.81,26.43,337.73,732.86,11.67,1.59,8.29,16.58,388.57,24.89,337.14,666.44,12.59,1.21,10.40,16.76
40,30,5.31,0.12,5.04,5.40,5.54,0.11,5.47,5.85,1.82,0.18,1.66,2.77,1.56,0.15,1.43,2.01,10.12,0.47,9.39,13.27,395.99,37.02,342.80,815.65,12.57,1.53,9.04,17.91,392.87,26.92,339.54,718.17,13.56,1.14,11.23,17.09
50,30,8.00,0.32,7.61,8.30,8.54,1.16,8.01,11.78,2.23,0.19,2.01,2.83,1.85,0.18,1.69,2.35,11.85,1.44,10.34,15.15,396.88,39.36,336.42,795.32,12.08,1.41,9.01,15.80,393.93,32.06,337.65,716.82,13.83,1.30,10.83,17.26
60,30,11.36,0.25,11.06,11.63,11.61,0.16,11.53,12.06,2.68,0.19,2.48,3.38,2.28,0.21,2.08,2.83,12.74,0.53,11.76,15.41,399.25,45.82,343.35,808.47,12.58,1.63,9.36,19.04,395.92,34.29,343.07,746.32,15.38,1.42,12.57,19.12
70,30,15.69,0.44,14.88,16.13,15.75,0.57,14.94,16.49,3.17,0.20,2.95,3.79,2.59,0.19,2.40,3.16,16.14,0.92,14.44,19.52,400.62,51.80,341.01,844.84,14.92,1.76,10.32,20.92,398.06,37.16,345.97,767.27,16.04,1.51,13.19,21.02
80,30,20.99,0.47,20.72,22.01,19.81,0.50,19.50,20.71,3.62,0.21,3.38,4.41,2.99,0.21,2.73,3.52,19.26,11.96,15.73,82.03,402.93,52.51,344.88,893.99,13.30,1.67,9.99,21.83,402.49,44.58,343.64,817.09,17.56,1.93,13.74,23.98
90,30,23.73,0.14,23.64,24.11,25.89,0.70,25.59,27.84,3.72,0.22,3.37,4.49,3.17,0.18,2.93,3.64,17.33,0.99,15.73,20.17,406.46,59.34,347.75,839.56,13.74,2.41,10.11,21.35,398.77,46.30,343.02,821.54,18.42,1.99,14.43,24.42
100,30,31.30,0.36,30.51,31.87,29.93,0.73,28.32,31.32,4.15,0.24,3.83,4.95,5.90,5.22,3.33,19.66,20.06,1.67,18.04,25.00,407.87,68.20,343.52,914.08,14.31,2.13,10.56,20.06,401.06,47.80,345.37,829.89,19.20,1.89,15.16,23.93
200,30,128.83,2.38,124.97,134.50,111.98,3.53,109.30,117.01,9.02,0.25,8.33,10.00,7.21,0.21,6.68,7.64,35.54,1.35,33.60,39.48,430.26,103.99,353.28,1056.19,15.94,1.09,13.74,20.18,414.74,71.26,351.07,908.26,29.17,2.66,23.30,35.95
300,30,266.28,2.07,265.04,271.51,240.24,1.04,239.59,242.61,13.15,0.59,11.83,15.35,10.75,0.33,9.78,12.42,48.46,2.19,45.54,54.02,442.07,134.61,354.04,1137.00,20.76,1.78,17.20,26.53,417.03,82.04,347.93,996.10,37.22,3.14,29.12,48.25
400,30,432.95,1.02,431.05,434.41,462.51,9.87,434.68,467.64,18.77,5.11,15.83,41.17,13.91,0.65,12.98,15.52,60.63,2.58,57.41,68.84,449.39,144.44,352.12,1188.86,22.45,2.26,19.49,30.49,424.92,94.56,353.78,1012.49,43.48,3.61,31.61,61.23
500,30,745.65,4.48,734.15,751.80,753.18,1.64,750.50,755.40,22.02,1.00,20.35,25.00,18.57,0.84,17.17,21.77,93.53,3.86,88.14,103.78,473.11,185.89,355.87,1538.01,30.02,2.14,24.22,35.63,431.14,107.66,349.05,1031.11,49.77,3.80,37.20,65.57
600,30,1056.07,19.31,1030.97,1085.92,980.85,2.67,978.42,987.39,27.34,1.24,24.71,30.27,21.86,0.91,20.43,24.55,417.68,12.48,403.47,467.78,475.95,184.07,361.42,1340.35,33.80,8.55,26.20,64.86,435.69,120.34,357.91,1130.31,53.24,5.68,37.54,69.01
700,30,1587.11,344.28,1377.01,2280.51,1310.39,12.78,1298.04,1333.91,30.47,1.29,28.72,34.63,24.99,0.38,24.42,27.51,467.83,19.80,441.81,522.52,493.27,211.43,354.69,1386.16,37.07,9.03,29.77,63.71,439.83,118.95,355.26,1157.22,49.37,3.70,42.59,64.47
800,30,1787.59,76.90,1727.32,1923.82,1730.27,38.58,1701.00,1825.14,35.93,1.91,33.10,40.72,29.58,0.40,28.76,32.02,494.46,16.22,479.35,576.65,500.88,239.75,366.65,1887.25,63.13,17.09,46.56,157.97,446.71,131.54,360.75,1120.18,54.78,4.34,45.16,74.10
900,30,2268.84,88.07,2114.00,2363.67,2334.55,65.87,2191.15,2406.72,39.52,1.44,37.57,44.89,34.80,1.28,32.74,38.94,552.01,18.08,535.29,676.83,503.01,240.76,360.91,1746.55,66.78,3.95,57.61,78.40,447.98,128.12,358.64,1296.12,60.83,9.84,47.99,172.06
1000,30,2652.05,29.25,2622.78,2691.47,2683.31,27.36,2645.90,2711.76,44.82,2.12,42.03,50.59,38.16,1.08,36.46,41.63,575.57,21.59,555.98,674.45,505.26,230.17,367.90,1454.47,71.95,3.03,64.10,80.16,457.17,142.32,356.62,1243.04,59.11,3.90,51.32,80.91
2000,30,10646.73,260.84,10469.50,11306.15,10623.43,263.06,10460.80,11269.39,91.88,3.18,88.62,102.75,84.75,3.82,80.11,93.54,821.95,22.90,799.19,938.52,535.79,256.53,384.20,1529.20,117.60,17.89,105.11,261.05,488.29,180.48,365.04,1294.30,107.93,5.66,98.04,144.90
3000,30,25711.69,252.99,25442.92,26229.35,23740.27,517.54,23224.39,24716.52,144.85,7.09,136.55,163.02,132.88,5.74,126.86,148.35,1029.09,27.37,1002.62,1159.93,547.39,257.01,390.85,1539.29,154.24,18.63,140.15,342.03,498.04,192.54,364.76,1395.92,143.41,5.40,131.77,192.13
4000,30,45933.36,646.75,44730.42,46894.71,42343.24,332.67,41997.54,42921.90,196.31,6.59,190.60,223.72,185.47,5.74,179.97,212.04,1571.92,56.60,1518.49,1870.80,570.49,257.54,399.53,1531.13,192.73,18.10,179.07,409.12,512.58,211.10,363.07,1443.75,191.42,8.71,174.24,357.72
